日期,最高温度,最低温度,天气,风向,result
2012-06-09,34℃,27℃,雷阵雨转阵雨,微风 小于3级,1
2012-06-10,33℃,28℃,雷阵雨转多云,微风 小于3级,1
2012-06-11,33℃,27℃,雷阵雨转暴雨,微风 小于3级,1
2012-06-12,30℃,26℃,大到暴雨转中到大雨,微风 小于3级,1
2012-06-13,31℃,25℃,阵雨转中雨,微风 小于3级,1
2012-06-14,32℃,26℃,中到大雨,微风 小于3级,1
2012-06-15,33℃,27℃,雷阵雨转阵雨,微风 小于3级,1
2012-06-16,33℃,27℃,多云转雷阵雨,微风 小于3级,1
2012-06-17,31℃,25℃,中雨转阵雨,微风 小于3级,1
2012-06-18,32℃,27℃,阵雨,微风 小于3级,1
2012-06-19,35℃,27℃,阵雨,微风 小于3级,1
2012-06-20,35℃,26℃,中雨转中到大雨,微风 小于3级,1
2012-06-21,31℃,27℃,大雨转中雨,微风 小于3级,1
2012-06-22,31℃,27℃,中到大雨转阵雨,微风 小于3级,1
2012-06-23,32℃,26℃,中雨转阵雨,微风 小于3级,1
2012-06-24,32℃,26℃,中雨转阵雨,微风 小于3级,1
2012-06-25,32℃,26℃,中雨转雷阵雨,微风 小于3级,1
2012-06-26,33℃,27℃,阵雨转多云,微风 小于3级,1
2012-06-27,33℃,28℃,多云,微风 小于3级,0
2012-06-28,34℃,27℃,多云,微风 小于3级,0
2012-06-29,35℃,27℃,多云转大雨,微风~东北风 小于3级~3-4级,1
2012-06-30,30℃,25℃,大到暴雨转大雨,东南风~南风 5-6级~3-4级,1
2013-06-01,35℃,28℃,多云,微风 小于3级,0
2013-06-02,35℃,28℃,多云,微风 小于3级,0
2013-06-03,34℃,26℃,多云转雷阵雨,微风 小于3级,1
2013-06-04,34℃,26℃,阵雨转雷阵雨,微风 小于3级,1
2013-06-05,33℃,26℃,阵雨转雷阵雨,微风 小于3级,1
2013-06-06,33℃,26℃,阵雨转中雨,微风 小于3级,1
2013-06-07,33℃,26℃,阵雨转雷阵雨,微风 小于3级,1
2013-06-08,34℃,25℃,多云转雷阵雨,微风 小于3级,1
2013-06-09,34℃,28℃,雷阵雨转中雨,微风 小于3级,1
2013-06-10,33℃,25℃,雷阵雨转大到暴雨,微风 小于3级,1
2013-06-11,29℃,24℃,大雨转阵雨,微风 小于3级,1
2013-06-12,31℃,22℃,阴转多云,微风 小于3级,0
2013-06-13,32℃,24℃,多云,微风 小于3级,0
2013-06-14,30℃,24℃,阵雨转中雨,微风 小于3级,1
2013-06-15,29℃,24℃,大雨,微风 小于3级,1
2013-06-16,30℃,25℃,中雨,微风 小于3级,1
2013-06-17,32℃,26℃,阵雨,微风 小于3级,1
2013-06-18,34℃,27℃,多云,微风 小于3级,0
2013-06-19,35℃,27℃,多云,微风 小于3级,0
2013-06-20,36℃,28℃,多云,微风 小于3级,0
2013-06-21,35℃,29℃,多云,微风 小于3级,0
2013-06-22,32℃,27℃,阵雨转中雨,微风 小于3级,1
2013-06-23,32℃,25℃,中雨,微风 小于3级,1
2013-06-24,33℃,26℃,中雨,微风 小于3级,1
2013-06-25,30℃,26℃,阵雨转中到大雨,微风 小于3级,1
2013-06-26,33℃,27℃,多云转阵雨,微风 小于3级,1
2013-06-27,35℃,28℃,多云,微风 小于3级,0
2013-06-28,35℃,28℃,多云,微风 小于3级,0
2013-06-29,35℃,28℃,多云,微风 小于3级,0
2013-06-30,36℃,29℃,晴,微风 小于3级,0
2014-06-01,35℃,28℃,晴转多云,微风 小于3级,0
2014-06-02,35℃,28℃,多云转雷阵雨,微风 小于3级,1
2014-06-03,34℃,27℃,多云转雷阵雨,微风 小于3级,1
2014-06-04,33℃,27℃,多云转雷阵雨,微风 小于3级,1
2014-06-05,34℃,27℃,多云转雷阵雨,微风 小于3级,1
2014-06-06,33℃,27℃,雷阵雨,微风 小于3级,1
2014-06-07,32℃,25℃,阵雨转大到暴雨,微风 小于3级,1
2014-06-08,30℃,25℃,大到暴雨转中雨,微风 小于3级,1
2014-06-09,30℃,25℃,大到暴雨转中雨,微风 小于3级,1
2014-06-10,26℃,30℃,阵雨,北风 微风,1
2014-06-11,35℃,27℃,多云转晴,西风 微风,0
2014-06-12,36℃,28℃,晴,东南风 微风,0
2014-06-13,36℃,28℃,晴转多云,北风 微风,0
2014-06-14,35℃,28℃,多云,南风 微风,0
2014-06-15,35℃,29℃,多云转阴,西南风 微风,0
2014-06-16,35℃,29℃,多云转阴,南风 微风,0
2014-06-17,34℃,28℃,阵雨转雷阵雨,东北风 微风,1
2014-06-18,29℃,35℃,雷阵雨转阵雨,南风 微风,1
2014-06-19,27℃,33℃,雷阵雨转中雨,南风 微风,1
2014-06-20,26℃,32℃,大雨,东南风 微风,1
2014-06-21,27℃,32℃,大雨转阵雨,南风 微风,1
2014-06-22,27℃,32℃,中雨转雷阵雨,南风 微风,1
2014-06-23,26℃,32℃,雷阵雨转阵雨,东南风 微风,1
2014-06-24,28℃,32℃,雷阵雨转阴,西南风 微风,1
2014-06-25,27℃,35℃,多云,南风 微风,0
2014-06-26,28℃,36℃,晴转多云,东南风 微风,0
2014-06-27,29℃,36℃,多云,东南风 微风,0
2014-06-28,29℃,35℃,阵雨转多云,东风 微风,1
2014-06-29,29℃,35℃,阵雨转晴,东南风 微风,1
2014-06-30,35℃,27℃,阵雨转雷阵雨,北风 微风,1
2015-06-01,33℃,27℃,雷雨~多云,微风 小于3级,1
2015-06-02,33℃,27℃,雷雨~阴,微风 小于3级,1
2015-06-03,35℃,28℃,多云,微风 小于3级,0
2015-06-04,35℃,27℃,多云,微风 小于3级,0
2015-06-05,34℃,27℃,中雨~多云,微风 小于3级,1
2015-06-06,33℃,27℃,雷雨~多云,微风 小于3级,1
2015-06-07,34℃,28℃,多云,微风 小于3级,0
2015-06-08,34℃,27℃,多云,微风 小于3级,0
2015-06-09,33℃,26℃,雷雨~阵雨,微风 小于3级,1
2015-06-10,34℃,27℃,雷雨~阵雨,微风 小于3级,1
2015-06-11,33℃,27℃,中雨~阵雨,微风 小于3级,1
2015-06-12,33℃,27℃,雷雨~多云,微风 小于3级,1
2015-06-13,34℃,27℃,雷雨~多云,微风 小于3级,1
2015-06-14,35℃,28℃,阵雨~多云,微风 小于3级,1
2015-06-15,35℃,27℃,多云,微风 小于3级,0
2015-06-16,35℃,28℃,多云,微风 小于3级,0
2015-06-17,35℃,27℃,多云,微风 小于3级,0
2015-06-18,35℃,27℃,多云,微风 小于3级,0
2015-06-19,36℃,27℃,多云,微风 小于3级,0
2015-06-20,36℃,28℃,多云,微风 小于3级,0
2015-06-21,35℃,27℃,多云,微风 小于3级,0
2015-06-22,32℃,25℃,雷雨~中雨,微风 小于3级,1
2015-06-23,31℃,25℃,大雨~中雨,微风 小于3级,1
2015-06-24,32℃,26℃,雷雨~阵雨,微风 小于3级,1
2015-06-25,32℃,27℃,雷雨~多云,微风 小于3级,1
2015-06-26,34℃,27℃,阵雨~多云,微风 小于3级,1
2015-06-27,35℃,28℃,多云,微风 小于3级,0
2015-06-28,36℃,28℃,晴,微风 小于3级,0
2015-06-29,35℃,28℃,晴~多云,微风 小于3级,0
2015-06-30,35℃,28℃,晴,微风 小于3级,0
2016-06-01,35℃,28℃,晴,微风 小于3级,0
2016-06-02,35℃,28℃,多云,微风 小于3级,0
2016-06-03,36℃,28℃,晴~多云,微风 小于3级,0
2016-06-04,35℃,27℃,雷阵雨~阵雨,微风 小于3级,1
2016-06-05,31℃,25℃,中雨,暂无实况 ,1
2016-06-06,27℃,24℃,暴雨~中雨,微风 小于3级,1
2016-06-07,32℃,25℃,雷阵雨~阵雨,微风 小于3级,1
2016-06-08,30℃,25℃,中雨,微风 小于3级,1
2016-06-09,29℃,24℃,中到大雨~阵雨,微风 小于3级,1
2016-06-10,31℃,26℃,中雨~大雨,微风 小于3级,1
2016-06-11,32℃,26℃,大雨~中雨,微风 小于3级,1
2016-06-12,31℃,26℃,大雨~中雨,微风 小于3级,1
2016-06-13,32℃,26℃,中雨,微风 小于3级,1
2016-06-14,33℃,26℃,大雨~阵雨,微风 小于3级,1
2016-06-15,33℃,27℃,大雨~暴雨,微风 小于3级,1
2016-06-16,29℃,25℃,暴雨~阵雨,微风 小于3级,1
2016-06-17,31℃,26℃,雷阵雨~多云,微风 小于3级,1
2016-06-18,34℃,26℃,雷阵雨~多云,微风 小于3级,1
2016-06-19,35℃,26℃,多云,微风 小于3级,0
2016-06-20,35℃,27℃,多云,微风 小于3级,0
2016-06-21,36℃,28℃,多云~晴,微风 小于3级,0
2016-06-22,36℃,28℃,晴,微风 小于3级,0
2016-06-23,34℃,26℃,多云,微风 小于3级,0
2016-06-24,35℃,27℃,晴,微风 小于3级,0
2016-06-25,36℃,28℃,雷阵雨~多云,微风 小于3级,1
2016-06-26,35℃,29℃,晴,微风 小于3级,0
2016-06-27,36℃,28℃,晴,微风 小于3级,0
2016-06-28,31℃,27℃,雷阵雨~阴,微风 小于3级,1
2016-06-29,32℃,26℃,中雨~阵雨,微风 小于3级,1
2016-06-30,32℃,27℃,雷阵雨~阴,微风 小于3级,1
2017-06-01,34℃,24℃,阵雨,南风 5级,1
2017-06-02,34℃,24℃,中雨,南风 4级,1
2017-06-03,35℃,26℃,阵雨,南风 4级,1
2017-06-04,35℃,27℃,雷阵雨,南风 4级,1
2017-06-05,35℃,28℃,小到中雨,南风 5级,1
2017-06-06,35℃,28℃,雷阵雨,南风 3级,1
2017-06-07,34℃,27℃,雷阵雨,东南风 1级,1
2017-06-08,35℃,27℃,晴,东南风 2级,0
2017-06-09,35℃,26℃,雷阵雨,西风 1级,1
2017-06-10,34℃,27℃,阵雨,西南风 1级,1
2017-06-11,35℃,27℃,多云,南风 3级,0
2017-06-12,34℃,26℃,阵雨,北风 4级,1
2017-06-13,33℃,27℃,中雨,南风 3级,1
2017-06-14,30℃,26℃,中到大雨,东南风 3级,1
2017-06-15,31℃,27℃,中雨,南风 4级,1
2017-06-16,34℃,25℃,中雨,西北风 4级,1
2017-06-17,30℃,25℃,中雨,西北风 2级,1
2017-06-18,29℃,24℃,中到大雨,东北风 2级,1
2017-06-19,29℃,24℃,中到大雨,南风 3级,1
2017-06-20,28℃,25℃,中到大雨,东南风 3级,1
2017-06-21,32℃,27℃,中到大雨,东南风 1级,1
2017-06-22,32℃,26℃,阵雨,东南风 3级,1
2017-06-23,34℃,26℃,阵雨,南风 4级,1
2017-06-24,34℃,27℃,雷阵雨,南风 5级,1
2017-06-25,34℃,27℃,雷阵雨,西南风 3级,1
2017-06-26,34℃,28℃,雷阵雨,南风 4级,1
2017-06-27,35℃,28℃,多云,南风 4级,0
2017-06-28,35℃,28℃,多云,南风 2级,0
2017-06-29,35℃,28℃,阵雨,南风 3级,1
2017-06-30,34℃,27℃,多云,南风 3级,0
2018-06-01,35℃,26℃,小雨到中雨,南风 2级,1
2018-06-02,33℃,27℃,小雨到中雨,东风 2级,1
2018-06-03,32℃,26℃,阴,东南风 2级,0
2018-06-04,31℃,27℃,阴,东南风 3级,0
2018-06-05,29℃,25℃,中雨到大雨,东风 3级,1
2018-06-06,28℃,25℃,小雨到大雨,东风 3级,1
2018-06-07,27℃,24℃,小雨到大雨,东风 4级,1
2018-06-08,26℃,24℃,中雨到暴风雨,东南风 4级,1
2018-06-09,31℃,25℃,多云,西北风 3级,0
2018-06-10,34℃,27℃,多云,北风 3级,0
2018-06-11,34℃,26℃,多云,北风 2级,0
2018-06-12,30℃,25℃,小雨,东南风 2级,1
2018-06-13,28℃,25℃,阴,东北风 2级,0
2018-06-14,30℃,25℃,阴,北风 3级,0
2018-06-15,31℃,25℃,阴,东北风 3级,0
2018-06-16,32℃,25℃,阴转小雨,东南风 2级,1
2018-06-17,33℃,25℃,多云,南风 2级,0
2018-06-18,34℃,25℃,小雨,西南风 3级,1
2018-06-19,33℃,26℃,多云,西南风 3级,0
2018-06-20,35℃,27℃,阴,西南风 3级,0
2018-06-21,34℃,28℃,多云转小雨,西南风 3级,1
2018-06-22,31℃,28℃,小雨到中雨,南风 3级,1
2018-06-23,30℃,25℃,小雨到中雨,南风 3级,1
2018-06-24,30℃,26℃,阴,东南风 4级,0
2018-06-25,32℃,26℃,雨,南风 4级,1
2018-06-26,32℃,26℃,多云,南风 3级,0
2018-06-27,34℃,26℃,多云,西南风 2级,0
2018-06-28,35℃,27℃,多云,西南风 3级,0
2018-06-29,35℃,27℃,多云,西南风 3级,0
2018-06-30,33℃,28℃,多云,西南风 3级,0
2019-06-01,30℃,25℃,小雨到中雨,西南风 2级,1
2019-06-02,30℃,25℃,阴转雨,西南风 2级,1
2019-06-03,31℃,26℃,多云,西南风 2级,0
2019-06-04,32℃,26℃,阴转雨,西南风 2级,1
2019-06-05,33℃,26℃,阴转雨,南风 3级,1
2019-06-06,34℃,26℃,多云转阴,南风 3级,0
2019-06-07,35℃,27℃,多云,南风 3级,0
2019-06-08,35℃,28℃,多云,西南风 3级,0
2019-06-09,35℃,28℃,阴转雨,西南风 3级,1
2019-06-10,35℃,26℃,多云转雨,西南风 3级,1
2019-06-11,31℃,25℃,中雨到暴雨,西南风 2级,1
2019-06-12,30℃,26℃,阴转雨,南风 2级,1
2019-06-13,30℃,25℃,多云转雨,西南风 2级,1
2019-06-14,33℃,27℃,晴转多云,北风 3级,0
2019-06-15,35℃,26℃,多云,东风 2级,0
2019-06-16,34℃,27℃,阴转多云,东南风 3级,0
2019-06-17,31℃,26℃,小雨到中雨,东南风 3级,1
2019-06-18,32℃,27℃,多云转阴,南风 3级,0
2019-06-19,35℃,27℃,多云,南风 3级,0
2019-06-20,35℃,28℃,多云,南风 3级,0
2019-06-21,35℃,28℃,多云,南风 3级,0
2019-06-22,35℃,28℃,多云转阴,西南风 3级,0
2019-06-23,35℃,27℃,多云转雨,西南风 3级,1
2019-06-24,30℃,25℃,阴转雨,西南风 2级,1
2019-06-25,31℃,26℃,多云,西南风 2级,0
2019-06-26,30℃,27℃,阴转雨,西南风 2级,1
2019-06-27,33℃,27℃,多云,南风 3级,0
2019-06-28,36℃,28℃,多云,南风 2级,0
2019-06-29,36℃,28℃,阴,南风 2级,0
2019-06-30,34℃,29℃,多云转雨,东南风 2级,1
2020-06-01,32℃,26℃,多云,南风 3级,0
2020-06-02,32℃,26℃,多云,南风 3级,0
2020-06-03,32℃,25℃,多云,南风 3级,0
2020-06-04,33℃,26℃,多云,南风 4级,0
2020-06-05,33℃,26℃,多云,南风 3级,0
2020-06-06,30℃,25℃,阴到中雨,西南风 3级,1
2020-06-07,30℃,27℃,阴,南风 3级,0
2020-06-08,30℃,26℃,多云,南风 3级,0
2020-06-09,31℃,25℃,阴,南风 3级,0
2020-06-10,33℃,27℃,多云,南风 3级,0
2020-06-11,35℃,28℃,多云,南风 3级,0
2020-06-12,36℃,28℃,晴,南风 3级,0
2020-06-13,35℃,28℃,多云,东风 2级,0
2020-06-14,30℃,26℃,阴,东南风 4级,0
2020-06-15,32℃,26℃,多云,南风 3级,0
2020-06-16,34℃,27℃,多云,南风 4级,0
2020-06-17,34℃,27℃,晴,南风 4级,0
2020-06-18,34℃,27℃,多云,南风 3级,0
2020-06-19,35℃,27℃,晴,南风 3级,0
2020-06-20,35℃,28℃,晴,南风 3级,0
2020-06-21,35℃,28℃,多云,南风 3级,0
2020-06-22,35℃,28℃,多云,南风 3级,0
2020-06-23,35℃,29℃,多云,南风 3级,0
2020-06-24,35℃,29℃,多云,南风 3级,0
2020-06-25,32℃,26℃,阴,南风 4级,0
2020-06-26,32℃,26℃,阴,南风 4级,0
2020-06-27,34℃,28℃,晴,南风 3级,0
2020-06-28,34℃,28℃,多云,南风 3级,0
2020-06-29,36℃,28℃,多云,南风 3级,0
2020-06-30,35℃,28℃,多云,南风 2级,0
2021-06-01,31℃,25℃,小雨到中雨,东风 2级,1
2021-06-02,32℃,24℃,阴转小雨,东风 2级,1
2021-06-03,33℃,24℃,阴,南风 2级,0
2021-06-04,26℃,24℃,阴,北风 3级,0
2021-06-05,28℃,25℃,晴,北风 2级,0
2021-06-06,33℃,26℃,晴,北风 2级,0
2021-06-07,34℃,25℃,多云,东南风 2级,0
2021-06-08,34℃,26℃,多云,东南风 2级,0
2021-06-09,32℃,27℃,多云,东南风 3级,0
2021-06-10,33℃,26℃,阴,东南风 2级,0
2021-06-11,33℃,26℃,小雨,东风 3级,1
2021-06-12,31℃,25℃,阴,东风 3级,0
2021-06-13,31℃,25℃,阴,东南风 3级,0
2021-06-14,31℃,26℃,晴,南风 3级,0
2021-06-15,33℃,26℃,阴,南风 3级,0
2021-06-16,34℃,27℃,晴,南风 3级,0
2021-06-17,34℃,28℃,阴,南风 2级,0
2021-06-18,36℃,27℃,多云,西南风 3级,0
2021-06-19,36℃,28℃,多云,西南风 3级,0
2021-06-20,36℃,27℃,阴,西南风 3级,0
2021-06-21,35℃,26℃,小雨,西南风 2级,1
2021-06-22,29℃,24℃,小雨到中雨,东风 2级,1
2021-06-23,28℃,23℃,阴,南风 2级,0
2021-06-24,30℃,25℃,阴,南风 1级,0
2021-06-25,33℃,27℃,阴,南风 2级,0
2021-06-26,34℃,26℃,多云,南风 3级,0
2021-06-27,35℃,27℃,阴,西南风 3级,0
2021-06-28,32℃,27℃,阴,南风 3级,0
2021-06-29,33℃,27℃,阴,南风 3级,0
2021-06-30,33℃,27℃,阴,南风 3级,0
2022-06-01,33℃,27℃,多云,南风 2级,0
2022-06-02,33℃,27℃,多云,南风 3级,0
2022-06-03,33℃,27℃,多云,南风 2级,0
2022-06-04,32℃,28℃,多云,南风 3级,0
2022-06-05,33℃,27℃,多云,南风 3级,0
2022-06-06,31℃,24℃,多云,西风 1级,0
2022-06-07,28℃,24℃,多云,东风 1级,0
2022-06-08,29℃,24℃,多云,东南风 3级,0
2022-06-09,30℃,25℃,多云,东南风 1级,0
2022-06-10,31℃,26℃,多云,南风 2级,0
2022-06-11,30℃,26℃,多云,东南风 2级,0
2022-06-12,30℃,26℃,多云,南风 1级,0
2022-06-13,31℃,25℃,多云,西北风 1级,0
2022-06-14,28℃,24℃,多云,西北风 1级,0
2022-06-15,29℃,24℃,多云,北风 1级,0
2022-06-16,31℃,25℃,多云,西南风 1级,0
2022-06-17,29℃,26℃,阴到小雨,南风 2级,1
